No,Date,Time,Race,Gender,Body_Size,Age_Range,With_Kids,Kids_Category,Basket_Size,Basket_colour,Attire,Shirt_Colour,shirt_type,Pants_Colour,pants_type,Wash_Item,Washer_No,Dryer_No,Spectacles
1,19/10/2015,20:17:50,malay,,moderate,,yes,young,big,red,casual,blue,short_sleeve,black,short,clothes,3,10,no
2,19/10/2015,20:28:42,indian,male,thin,32.0,no,no_kids,big,green,casual,,short_sleeve,blue_jeans,long,,6,9,no
3,19/10/2015,20:58:31,malay,female,,30.0,no,no_kids,big,blue,casual,red,short_sleeve,black,long,,4,10,no
4,19/10/2015,21:31:28,indian,male,thin,51.0,no,no_kids,,black,casual,,short_sleeve,yellow,short,clothes,5,9,no
5,19/10/2015,21:40:28,indian,male,moderate,34.0,no,no_kids,big,blue,casual,blue,short_sleeve,white,long,clothes,3,9,no
6,19/10/2015,23:45:38,,male,fat,50.0,no,no_kids,small,white,casual,brown,,blue_jeans,long,clothes,4,8,no
7,19/10/2015,23:53:38,,female,fat,45.0,,no_kids,big,pink,traditional,blue,,black,long,clothes,5,10,no
8,20/10/2015,0:24:01,indian,male,thin,49.0,no,,big,blue,casual,,short_sleeve,brown,long,clothes,3,9,no
9,20/10/2015,0:45:19,indian,male,thin,30.0,no,no_kids,small,purple,casual,white,short_sleeve,black,short,clothes,6,10,no
10,20/10/2015,1:17:50,chinese,male,moderate,33.0,no,no_kids,small,pink,casual,white,short_sleeve,blue_jeans,short,,5,7,no
11,20/10/2015,3:07:16,foreigner ,female,,45.0,no,no_kids,big,red,,black,short_sleeve,grey,short,,4,8,no
12,20/10/2015,7:23:12,,male,moderate,37.0,no,no_kids,,blue,casual,brown,short_sleeve,blue_jeans,long,,4,8,no
13,20/10/2015,7:23:12,malay,female,moderate,,no,no_kids,big,blue,casual,blue,long sleeve,blue_jeans,long,clothes,3,7,no
14,20/10/2015,9:06:14,malay,male,moderate,,no,no_kids,big,yellow,casual,yellow,short_sleeve,black,long,clothes,3,9,yes
15,20/10/2015,10:05:17,malay,female,moderate,55.0,,young,big,red,casual,,long sleeve,grey,,clothes,3,8,yes
16,20/10/2015,10:41:35,,male,thin,33.0,no,no_kids,big,brown,formal,,long sleeve,brown,long,clothes,5,9,no
17,20/10/2015,10:49:31,malay,female,thin,55.0,yes,toddler ,,,casual,brown,long sleeve,grey,long,clothes,4,7,no
18,20/10/2015,10:57:47,malay,male,fat,37.0,yes,toddler,big,blue,casual,grey,,grey,long,clothes,5,9,no
19,20/10/2015,11:13:26,malay,female,fat,55.0,yes,,,blue,traditional,orange,long sleeve,orange,long,,6,7,yes
20,20/10/2015,11:19:20,malay,female,moderate,50.0,yes,young,big,pink,casual,green,long sleeve,grey,long,clothes,5,10,no
21,20/10/2015,11:27:26,indian,male,fat,34.0,no,no_kids,big,black,casual,red,short_sleeve,grey,long,clothes,3,10,no
22,20/10/2015,11:27:57,,male,moderate,53.0,yes,baby,big,,formal,red,long sleeve,black,long,clothes,5,9,no
23,20/10/2015,11:28:43,malay,female,fat,38.0,yes,young,big,white,casual,red,,blue  ,long,blankets,3,7,no
24,20/10/2015,13:36:46,chinese,female,thin,29.0,no,,small,white,casual,,short_sleeve,black ,long,blankets,3,7,yes
25,20/10/2015,12:10:46,chinese,female,moderate,44.0,no,no_kids,big,white,casual,black,short_sleeve,black,long,clothes,5,7,no
26,20/10/2015,13:44:03,chinese,female,moderate,42.0,no,no_kids,small,orange,casual,black,short_sleeve,black,,clothes,3,8,no
27,20/10/2015,13:47:46,chinese,male,,41.0,no,no_kids,big,white,,black,,brown,long,clothes,6,9,no
28,20/10/2015,14:39:57,chinese,male,thin,36.0,yes,young,big,,,grey,,white,short,blankets,5,9,yes
29,20/10/2015,14:54:19,indian,male,fat,39.0,no,no_kids,big,blue,,black,,blue_jeans,,clothes,4,10,no
30,20/10/2015,14:54:19,indian,male,thin,42.0,no,no_kids,big,,,black,short_sleeve,blue_jeans,long,,6,9,no
31,20/10/2015,15:26:05,malay,,fat,32.0,no,no_kids,big,purple,,purple,long sleeve,black,long,clothes,3,7,no
32,20/10/2015,15:45:51,chinese,,thin,40.0,yes,toddler,big,,casual,white,short_sleeve,white,short,clothes,5,9,yes
33,20/10/2015,15:52:41,foreigner ,male,moderate,,no,no_kids,big,blue,casual,black,short_sleeve,black,long,clothes,3,8,no
34,20/10/2015,16:01:30,malay,female,fat,55.0,,no_kids,big,purple,casual,purple,long sleeve,black,long,clothes,3,7,no
35,20/10/2015,16:34:06,chinese,male,thin,46.0,no,no_kids,big,red,casual,,short_sleeve,black,,clothes,4,7,no
36,20/10/2015,18:14:37,malay,female,thin,46.0,no,no_kids,small,white,casual,white,short_sleeve,grey,,clothes,6,10,no
37,20/10/2015,18:34:26,malay,male,fat,,no,no_kids,big,blue,formal,white,short_sleeve,brown,,clothes,4,7,yes
38,20/10/2015,18:37:46,chinese,female,thin,35.0,,no_kids,small,green,casual,grey,short_sleeve,grey,short,clothes,5,9,no
39,20/10/2015,18:48:34,malay,female,thin,41.0,no,,,red,formal,orange,long sleeve,black,long,clothes,5,10,no
40,20/10/2015,18:57:46,malay,,,31.0,no,no_kids,big,red,traditional,green,long sleeve,green,long,,4,9,yes
41,20/10/2015,18:57:46,malay,female,fat,34.0,no,no_kids,big,red,traditional,brown,long sleeve,brown,long,clothes,5,9,no
42,20/10/2015,20:09:18,malay,female,fat,36.0,no,no_kids,big,blue,casual,grey,long sleeve,black,long,blankets,4,8,no
43,20/10/2015,20:21:03,malay,male,thin,33.0,no,,big,red,casual,black,short_sleeve,blue_jeans,long,clothes,4,10,yes
44,20/10/2015,20:21:03,malay,female,,51.0,no,no_kids,big,,casual,blue,short_sleeve,red,long,,6,9,no
45,20/10/2015,20:21:03,,female,moderate,46.0,no,no_kids,big,blue,formal,grey,long sleeve,black,long,blankets,3,7,no
46,20/10/2015,20:32:37,malay,,moderate,51.0,no,no_kids,big,black,casual,red,long sleeve,red,long,,6,8,no
47,20/10/2015,20:44:46,indian,male,fat,48.0,no,no_kids,big,purple,casual,red,short_sleeve,black,short,clothes,5,7,no
48,20/10/2015,20:48:32,malay,female,fat,28.0,no,no_kids,big,blue,casual,,long sleeve,brown,long,,3,9,yes
49,20/10/2015,21:39:30,,male,,49.0,no,no_kids,big,red,casual,black,short_sleeve,blue,short,clothes,4,8,no
50,20/10/2015,21:44:10,indian,male,fat,48.0,no,no_kids,big,red,casual,,short_sleeve,blue,short,clothes,5,10,no
51,20/10/2015,21:05:59,malay,female,fat,42.0,yes,toddler,big,orange,casual,black,short_sleeve,black,long,blankets,5,9,no
52,20/10/2015,22:04:52,indian,female,fat,42.0,no,no_kids,small,white,traditional,red,short_sleeve,black,long,clothes,5,7,no
53,20/10/2015,22:04:52,foreigner ,male,moderate,54.0,no,no_kids,big,white,casual,white,short_sleeve,black,long,clothes,3,9,no
54,20/10/2015,22:10:28,foreigner ,male,thin,38.0,no,,big,yellow,casual,white,short_sleeve,black,long,clothes,3,8,no
55,20/10/2015,22:12:39,chinese,female,thin,39.0,no,no_kids,big,,casual,blue,long sleeve,yellow,short,clothes,6,7,no
56,20/10/2015,22:18:01,malay,male,thin,53.0,yes,young,big,white,formal,brown,long sleeve,blue,long,clothes,6,8,no
